Crop,N_Req,P_Req,K_Req,Rainfall,Temp
Paddy,High,Medium,Medium,160,28
Jowar,Medium,Medium,Medium,60,30
Bajra,Low,Low,Low,50,31
Ragi,Medium,Medium,Medium,90,25
Maize,High,High,Medium,90,25
Redgram,Low,Medium,Low,80,30
Banana,High,Medium,High,175,28
Blackgram,Low,Medium,Low,60,30
Cashewnuts,High,Medium,Medium,150,28
Coconut,High,Medium,High,200,28
Coriander,Medium,Medium,Low,60,20
Cotton,High,Medium,Medium,90,25
Garlic,High,High,High,90,18
Greengram,Low,Medium,Low,60,30
Groundnut,Low,Medium,Medium,60,25
Guava,Medium,Medium,Medium,125,25
Lemon,Medium,Medium,Medium,125,25
Mango,High,Medium,High,125,27
Mousambi,Medium,Medium,Medium,125,25
Onion,High,Medium,Medium,60,20
Red Chillies,High,Medium,Medium,100,25
Rubber,Medium,Low,High,250,30
Sesame,Medium,Medium,Medium,75,27
Sugarcane,High,Medium,High,125,28
Sunflower,Medium,Medium,Medium,90,25
Tapioca,Medium,Medium,High,125,28
Turmeric,High,Medium,High,200,28
