iter	PRAUC	Logloss
0	0.9423379398	0.5889027082
1	0.9423378879	0.5114682217
2	0.9423378879	0.4536412238
3	0.9423380546	0.4104272701
4	0.9423378919	0.3788161112
5	0.9423378919	0.3551071339
6	0.942338029	0.337010151
7	0.9423382124	0.3235212534
8	0.9423382124	0.3123849579
9	0.9423383782	0.3034932973
10	0.9413851124	0.2978299867
11	0.940663971	0.2934695077
12	0.940663971	0.2896091947
13	0.9406641795	0.2852669441
14	0.9406641795	0.28258581
15	0.9406643249	0.2793332465
16	0.9406643249	0.277418564
17	0.9406643249	0.2749380872
18	0.9406643168	0.2727443595
19	0.9406643168	0.2717005069
20	0.9406641326	0.2699889825
21	0.9406639874	0.2691429286
22	0.9406639874	0.2683541838
23	0.9406639874	0.2677537967
24	0.9406641716	0.2665751072
25	0.9406641716	0.2656375754
26	0.9406641716	0.265258363
27	0.9406645454	0.2644194685
28	0.9406645454	0.2637318118
29	0.9406645518	0.2631136415
30	0.9406645518	0.2628376656
31	0.9406645518	0.2626081393
32	0.9406645454	0.2622288531
33	0.9406645454	0.2618355601
34	0.9406645538	0.2614421781
35	0.9406645602	0.2612913801
36	0.9406645343	0.2611846315
37	0.940664528	0.2609122373
38	0.940664528	0.2606557254
39	0.9406645259	0.2604370869
40	0.9406645259	0.260359737
41	0.9406645259	0.2601468456
42	0.9406645259	0.259959311
43	0.9406645343	0.2598102089
44	0.9410218366	0.2596694196
45	0.9410218366	0.259557951
46	0.9410218626	0.2594530406
47	0.9410218626	0.2594083717
48	0.9410218626	0.2593804019
49	0.9410218626	0.2592874169
50	0.9410218626	0.259215552
51	0.9410218626	0.2591353777
52	0.9410218626	0.2591065668
53	0.9410218626	0.2590937051
54	0.9410218626	0.2590297779
55	0.9410218626	0.259017963
56	0.9410218626	0.258967402
57	0.9410218626	0.2589483868
58	0.9410218626	0.2589081155
59	0.9410218626	0.2588646882
60	0.9413855174	0.258832288
61	0.9410218626	0.2588189568
62	0.9413855174	0.2587844556
63	0.9413855174	0.2587545319
64	0.9413855174	0.2587278481
65	0.9413855174	0.2587214076
66	0.9413855174	0.2586990031
67	0.9413855174	0.2586757144
68	0.9413855174	0.2586555555
69	0.9413855174	0.2586381188
70	0.9413855174	0.2586215954
71	0.9413855174	0.2586070908
72	0.9413855174	0.2585948529
