iter	Passed	Remaining
0	72	18694
1	140	18106
2	208	17854
3	272	17453
4	339	17306
5	405	17160
6	471	17032
7	538	16958
8	615	17154
9	686	17155
10	759	17190
11	825	17069
12	894	16991
13	960	16880
14	1021	16685
15	1088	16593
16	1152	16476
17	1228	16521
18	1296	16445
19	1361	16337
20	1425	16223
21	1486	16079
22	1552	15997
23	1616	15899
24	1690	15890
25	1755	15799
26	1815	15665
27	1880	15581
28	1944	15491
29	2011	15425
30	2090	15439
31	2150	15324
32	2214	15229
33	2270	15093
34	2337	15025
35	2406	14972
36	2475	14921
37	2547	14882
38	2612	14804
39	2675	14716
40	2739	14631
41	2804	14557
42	2874	14508
43	2935	14411
44	3000	14336
45	3066	14266
46	3132	14197
47	3200	14136
48	3261	14044
49	3320	13944
50	3383	13866
51	3450	13800
52	3518	13741
53	3573	13630
54	3647	13596
55	3703	13490
56	3761	13395
57	3824	13319
58	3875	13204
59	3938	13128
60	4011	13087
61	4070	13000
62	4135	12930
63	4201	12865
64	4262	12787
65	4333	12736
66	4396	12663
67	4479	12648
68	4550	12596
69	4609	12510
70	4665	12419
71	4730	12351
72	4794	12281
73	4857	12209
74	4920	12138
75	4987	12075
76	5051	12006
77	5114	11934
78	5186	11884
79	5242	11796
80	5305	11724
81	5359	11633
82	5423	11565
83	5475	11471
84	5539	11405
85	5587	11304
86	5649	11233
87	5714	11170
88	5777	11100
89	5855	11059
90	5909	10975
91	5965	10893
92	6028	10825
93	6089	10754
94	6144	10672
95	6199	10591
96	6264	10526
97	6319	10446
98	6376	10369
99	6431	10289
100	6486	10212
101	6543	10135
102	6596	10054
103	6647	9971
104	6706	9899
105	6763	9825
106	6819	9751
107	6866	9663
108	6920	9587
109	6977	9515
110	7039	9449
111	7093	9373
112	7148	9298
113	7207	9230
114	7264	9159
115	7322	9089
116	7385	9026
117	7438	8951
118	7497	8883
119	7555	8814
120	7607	8739
121	7662	8667
122	7719	8597
123	7780	8533
124	7836	8463
125	7898	8399
126	7953	8329
127	8011	8261
128	8064	8189
129	8124	8124
130	8179	8055
131	8232	7982
132	8285	7911
133	8346	7848
134	8399	7777
135	8452	7706
136	8501	7632
137	8556	7564
138	8610	7495
139	8663	7426
140	8716	7356
141	8772	7290
142	8827	7222
143	8880	7154
144	8933	7085
145	8987	7017
146	9041	6950
147	9100	6887
148	9158	6822
149	9217	6759
150	9277	6697
151	9333	6632
152	9390	6567
153	9440	6497
154	9499	6435
155	9552	6368
156	9609	6304
157	9666	6240
158	9722	6175
159	9780	6113
160	9845	6054
161	9901	5989
162	9954	5923
163	10007	5858
164	10064	5794
165	10112	5726
166	10173	5665
167	10229	5601
168	10281	5536
169	10336	5472
170	10393	5409
171	10447	5345
172	10500	5280
173	10549	5214
174	10598	5147
175	10644	5080
176	10697	5016
177	10752	4953
178	10811	4892
179	10859	4826
180	10911	4762
181	10965	4699
182	11023	4638
183	11080	4576
184	11130	4512
185	11187	4450
186	11235	4386
187	11289	4323
188	11346	4262
189	11401	4200
190	11458	4139
191	11509	4076
192	11557	4012
193	11615	3951
194	11668	3889
195	11723	3827
196	11771	3764
197	11829	3704
198	11876	3640
199	11931	3579
200	11986	3518
201	12038	3456
202	12096	3396
203	12154	3336
204	12213	3276
205	12260	3213
206	12308	3151
207	12365	3091
208	12424	3031
209	12474	2970
210	12530	2909
211	12579	2848
212	12635	2788
213	12689	2727
214	12746	2667
215	12808	2609
216	12857	2547
217	12915	2488
218	12964	2427
219	13030	2369
220	13105	2312
221	14404	2465
222	14464	2399
223	14516	2332
224	14573	2266
225	14631	2201
226	14692	2135
227	14753	2070
228	14815	2005
229	14875	1940
230	14931	1874
231	14994	1809
232	15057	1744
233	15102	1678
234	15149	1611
235	15207	1546
236	15256	1480
237	15309	1415
238	15356	1349
239	15411	1284
240	15465	1219
241	15530	1155
242	15592	1090
243	15658	1026
244	15724	962
245	15780	898
246	15833	833
247	15898	769
248	15955	704
249	16007	640
250	16063	575
251	16120	511
252	16173	447
253	16231	383
254	16285	319
255	16345	255
256	16405	191
257	16467	127
258	16529	63
259	16595	0
