S_No,District,EC_dS_m,pH,N,P,K,OC_percent,S_ppm,B_ppm,Zn_ppm,Cu_ppm,Fe_ppm,Mn_ppm
1,Kancheepuram,0.2,7.4,188.0,67.0,194.0,0.3,19.0,0.6,0.8,1.0,6.4,3.6
2,Cuddalore,0.3,7.3,141.5,51.0,237.5,0.3,10.8,0.6,1.1,1.2,5.6,9.0
3,Villupuram,0.8,7.1,156.0,41.6,233.0,0.4,16.0,0.7,1.5,1.3,5.5,2.5
4,Vellore,0.2,7.3,180.2,58.7,327.4,0.4,15.0,0.7,0.9,1.2,3.2,1.6
5,Tiruvannamalai,0.4,7.6,175.7,27.4,263.1,0.4,17.2,0.6,0.8,0.9,3.4,1.5
6,Salem,0.6,7.9,185.0,29.4,190.0,0.4,24.3,1.2,1.0,1.2,6.6,4.5
7,Namakkal,0.3,7.3,200.0,20.7,421.5,0.4,19.3,0.4,1.0,1.5,6.9,6.3
8,Dharmapuri,0.4,7.9,187.5,17.3,278.0,0.3,14.6,0.5,0.9,0.6,4.3,2.3
9,Krishnagiri,0.4,7.2,149.8,22.0,215.3,0.3,23.0,1.2,1.6,1.4,7.2,3.8
10,Coimbatore,0.4,7.6,201.0,27.3,263.0,0.4,12.7,0.6,0.9,0.9,4.6,2.4
11,Tiruppur,0.8,8.3,206.5,16.4,305.0,0.4,18.5,0.6,1.6,1.6,5.8,2.7
12,Erode,0.2,7.8,159.4,19.0,273.9,0.4,10.5,0.6,1.2,1.4,5.4,2.7
13,Trichy,0.2,8.1,153.2,18.6,368.3,0.4,12.2,0.1,1.1,1.1,5.4,3.3
14,Perambalur,0.2,8.1,143.6,25.3,302.6,0.4,10.8,0.3,0.7,0.8,3.2,2.2
15,Ariyalur,0.6,7.9,139.0,20.5,272.0,0.4,11.8,0.5,0.6,0.7,4.8,2.2
16,Karur,0.5,7.6,129.5,30.0,371.5,0.3,11.5,0.6,0.6,1.0,2.9,1.9
17,Pudukkottai,0.4,7.2,157.8,20.9,199.2,0.4,12.0,0.6,0.9,0.7,4.6,3.1
18,Thanjavur,0.3,7.4,146.0,55.8,229.2,0.5,12.4,1.2,1.0,1.6,5.7,3.4
19,Thiruvarur,0.7,7.3,163.0,88.1,293.5,0.5,20.0,1.2,1.0,2.6,6.4,5.1
20,Madurai,0.4,7.8,163.0,52.0,348.5,0.4,26.0,0.2,0.8,1.1,6.1,4.1
21,Theni,0.8,7.3,190.0,73.2,221.1,0.4,12.9,1.3,0.8,1.4,5.1,4.7
22,Dindigul,0.3,7.6,221.0,75.0,191.0,0.4,15.5,0.6,1.4,1.1,4.0,3.3
23,Ramanathapuram,0.6,7.2,128.5,24.0,269.0,0.4,28.0,0.8,0.6,1.6,7.0,6.2
24,Sivagangai,0.5,7.3,124.5,45.5,341.5,0.3,10.6,0.5,0.7,0.6,7.6,6.3
25,Virudhunagar,0.3,8.0,142.2,17.0,252.0,0.3,21.0,1.1,0.6,1.0,4.2,7.7
26,Tirunelveli,0.3,7.3,177.4,30.3,367.1,0.3,24.0,0.8,0.9,1.4,6.0,8.3
27,Tuticorin,0.4,7.8,131.0,32.6,123.0,0.4,20.8,1.1,0.8,1.0,4.4,5.1
28,Kanyakumari,0.5,5.9,198.0,23.5,212.0,0.4,19.2,0.4,1.9,1.1,7.2,6.2
29,The Nilgiris,0.5,5.7,169.4,22.7,296.7,0.7,12.8,1.4,2.2,1.7,8.9,9.2
