date,temp_mean,temp_max,temp_min,humidity,rainfall,District,year,month,Season
2020-01-01,24.2,27.8,22.2,90,8.1,Kancheepuram,2020,1,Rabi
2020-01-02,24.9,28.3,22.1,89,1.7,Kancheepuram,2020,1,Rabi
2020-01-03,25.5,29.6,22.5,86,1.3,Kancheepuram,2020,1,Rabi
2020-01-04,25.9,30.1,22.7,87,0.2,Kancheepuram,2020,1,Rabi
2020-01-05,25.2,28.5,23.1,88,2.7,Kancheepuram,2020,1,Rabi
2020-01-06,25.0,28.5,23.0,87,2.8,Kancheepuram,2020,1,Rabi
2020-01-07,24.8,28.4,22.5,85,0.8,Kancheepuram,2020,1,Rabi
2020-01-08,24.4,29.0,20.8,80,0.0,Kancheepuram,2020,1,Rabi
2020-01-09,23.7,29.0,19.6,79,0.0,Kancheepuram,2020,1,Rabi
2020-01-10,23.5,28.5,19.4,77,0.0,Kancheepuram,2020,1,Rabi
2020-01-11,23.9,28.8,20.6,73,0.0,Kancheepuram,2020,1,Rabi
2020-01-12,23.6,27.0,20.1,82,1.0,Kancheepuram,2020,1,Rabi
2020-01-13,23.9,29.5,20.0,79,0.0,Kancheepuram,2020,1,Rabi
2020-01-14,22.6,28.2,17.9,77,0.0,Kancheepuram,2020,1,Rabi
2020-01-15,23.5,28.5,19.9,70,0.0,Kancheepuram,2020,1,Rabi
2020-01-16,24.1,29.6,20.0,72,0.0,Kancheepuram,2020,1,Rabi
2020-01-17,24.0,28.7,19.4,83,1.1,Kancheepuram,2020,1,Rabi
2020-01-18,24.8,28.0,22.8,86,6.9,Kancheepuram,2020,1,Rabi
2020-01-19,25.2,29.8,22.0,80,0.0,Kancheepuram,2020,1,Rabi
2020-01-20,24.8,30.3,21.1,81,0.0,Kancheepuram,2020,1,Rabi
2020-01-21,24.8,29.5,21.5,75,0.0,Kancheepuram,2020,1,Rabi
2020-01-22,24.9,29.7,20.7,75,0.0,Kancheepuram,2020,1,Rabi
2020-01-23,25.1,30.0,21.4,74,0.2,Kancheepuram,2020,1,Rabi
2020-01-24,23.6,30.2,19.0,77,0.0,Kancheepuram,2020,1,Rabi
2020-01-25,23.1,29.9,17.8,79,0.0,Kancheepuram,2020,1,Rabi
2020-01-26,23.5,30.2,18.5,78,0.0,Kancheepuram,2020,1,Rabi
2020-01-27,24.0,30.3,19.0,79,0.0,Kancheepuram,2020,1,Rabi
2020-01-28,24.8,30.8,20.0,78,0.0,Kancheepuram,2020,1,Rabi
2020-01-29,25.4,31.5,21.5,78,0.0,Kancheepuram,2020,1,Rabi
2020-01-30,25.2,31.4,20.7,78,0.0,Kancheepuram,2020,1,Rabi
2020-01-31,25.2,31.4,20.4,78,0.0,Kancheepuram,2020,1,Rabi
2020-02-01,25.7,30.8,22.1,75,0.3,Kancheepuram,2020,2,Rabi
2020-02-02,25.3,30.6,21.0,74,0.0,Kancheepuram,2020,2,Rabi
2020-02-03,24.4,30.6,19.7,78,0.0,Kancheepuram,2020,2,Rabi
2020-02-04,24.6,29.5,20.8,80,0.4,Kancheepuram,2020,2,Rabi
2020-02-05,24.8,30.4,20.2,75,0.1,Kancheepuram,2020,2,Rabi
2020-02-06,24.5,30.8,19.5,76,0.0,Kancheepuram,2020,2,Rabi
2020-02-07,25.2,30.9,20.7,73,0.0,Kancheepuram,2020,2,Rabi
2020-02-08,25.4,30.8,21.1,71,0.0,Kancheepuram,2020,2,Rabi
2020-02-09,25.3,28.9,21.9,74,1.3,Kancheepuram,2020,2,Rabi
2020-02-10,25.4,30.5,21.4,69,0.0,Kancheepuram,2020,2,Rabi
2020-02-11,25.0,29.8,21.8,77,1.0,Kancheepuram,2020,2,Rabi
2020-02-12,25.5,30.5,21.5,76,0.0,Kancheepuram,2020,2,Rabi
2020-02-13,25.6,31.6,21.6,74,0.0,Kancheepuram,2020,2,Rabi
2020-02-14,25.2,32.0,20.2,71,0.0,Kancheepuram,2020,2,Rabi
2020-02-15,24.7,32.3,19.0,70,0.0,Kancheepuram,2020,2,Rabi
2020-02-16,23.9,31.5,17.1,73,0.0,Kancheepuram,2020,2,Rabi
2020-02-17,24.7,31.3,19.9,68,0.0,Kancheepuram,2020,2,Rabi
2020-02-18,24.4,31.0,18.5,69,0.0,Kancheepuram,2020,2,Rabi
2020-02-19,24.4,30.8,18.8,70,0.0,Kancheepuram,2020,2,Rabi
2020-02-20,24.8,31.1,19.6,68,0.0,Kancheepuram,2020,2,Rabi
2020-02-21,25.3,32.8,19.2,71,0.0,Kancheepuram,2020,2,Rabi
2020-02-22,25.9,31.1,21.9,75,0.4,Kancheepuram,2020,2,Rabi
2020-02-23,25.8,31.1,21.9,76,0.4,Kancheepuram,2020,2,Rabi
2020-02-24,25.9,32.0,21.0,76,0.3,Kancheepuram,2020,2,Rabi
2020-02-25,26.5,32.7,21.6,75,0.0,Kancheepuram,2020,2,Rabi
2020-02-26,26.7,31.7,22.2,74,0.4,Kancheepuram,2020,2,Rabi
2020-02-27,26.6,32.1,22.1,75,0.6,Kancheepuram,2020,2,Rabi
2020-02-28,26.4,31.8,22.8,74,0.3,Kancheepuram,2020,2,Rabi
2020-02-29,26.3,32.2,22.3,74,0.4,Kancheepuram,2020,2,Rabi
2020-03-01,26.4,32.0,22.9,72,0.3,Kancheepuram,2020,3,Summer
2020-03-02,26.1,31.9,21.0,70,0.0,Kancheepuram,2020,3,Summer
2020-03-03,26.9,33.7,21.5,69,0.0,Kancheepuram,2020,3,Summer
2020-03-04,27.2,34.4,22.1,72,0.0,Kancheepuram,2020,3,Summer
2020-03-05,27.3,32.6,22.6,72,0.5,Kancheepuram,2020,3,Summer
2020-03-06,27.2,31.9,23.4,75,0.9,Kancheepuram,2020,3,Summer
2020-03-07,27.6,32.0,24.9,74,0.4,Kancheepuram,2020,3,Summer
2020-03-08,27.1,31.6,23.4,75,1.3,Kancheepuram,2020,3,Summer
2020-03-09,26.9,33.8,22.3,71,0.0,Kancheepuram,2020,3,Summer
2020-03-10,27.1,34.3,21.6,70,0.0,Kancheepuram,2020,3,Summer
2020-03-11,27.1,34.4,21.9,69,0.0,Kancheepuram,2020,3,Summer
2020-03-12,27.3,34.8,21.8,70,0.0,Kancheepuram,2020,3,Summer
2020-03-13,27.2,34.7,21.9,71,0.0,Kancheepuram,2020,3,Summer
2020-03-14,27.4,34.5,22.0,71,0.0,Kancheepuram,2020,3,Summer
2020-03-15,27.7,34.5,23.5,69,0.1,Kancheepuram,2020,3,Summer
2020-03-16,27.7,34.1,23.2,73,1.6,Kancheepuram,2020,3,Summer
2020-03-17,28.3,35.2,23.5,69,0.0,Kancheepuram,2020,3,Summer
2020-03-18,28.4,36.1,22.8,70,0.0,Kancheepuram,2020,3,Summer
2020-03-19,28.7,36.5,23.4,68,0.0,Kancheepuram,2020,3,Summer
2020-03-20,28.5,36.3,23.1,69,0.0,Kancheepuram,2020,3,Summer
2020-03-21,28.9,35.8,24.3,68,0.4,Kancheepuram,2020,3,Summer
2020-03-22,29.3,36.0,25.2,66,0.1,Kancheepuram,2020,3,Summer
2020-03-23,28.8,35.0,24.9,66,0.0,Kancheepuram,2020,3,Summer
2020-03-24,28.1,35.3,23.2,68,0.1,Kancheepuram,2020,3,Summer
2020-03-25,28.3,34.8,23.0,66,0.0,Kancheepuram,2020,3,Summer
2020-03-26,28.3,35.6,23.2,68,0.0,Kancheepuram,2020,3,Summer
2020-03-27,28.4,35.8,23.5,65,0.0,Kancheepuram,2020,3,Summer
2020-03-28,28.1,36.7,21.5,66,0.0,Kancheepuram,2020,3,Summer
2020-03-29,28.4,36.8,21.7,66,0.0,Kancheepuram,2020,3,Summer
2020-03-30,27.9,36.0,21.7,66,0.0,Kancheepuram,2020,3,Summer
2020-03-31,28.3,36.8,21.8,67,0.0,Kancheepuram,2020,3,Summer
2020-04-01,29.0,37.8,21.9,66,0.0,Kancheepuram,2020,4,Summer
2020-04-02,29.6,37.9,24.4,67,0.0,Kancheepuram,2020,4,Summer
2020-04-03,29.4,37.4,24.0,69,0.1,Kancheepuram,2020,4,Summer
2020-04-04,29.6,36.5,25.0,67,0.0,Kancheepuram,2020,4,Summer
2020-04-05,30.1,36.2,26.0,70,0.9,Kancheepuram,2020,4,Summer
2020-04-06,30.6,37.5,26.5,69,0.2,Kancheepuram,2020,4,Summer
2020-04-07,30.7,37.8,26.5,67,0.1,Kancheepuram,2020,4,Summer
2020-04-08,30.7,37.3,26.9,69,0.2,Kancheepuram,2020,4,Summer
2020-04-09,30.0,35.5,26.5,71,2.8,Kancheepuram,2020,4,Summer
2020-04-10,29.7,36.8,25.4,69,0.1,Kancheepuram,2020,4,Summer
2020-04-11,29.8,36.2,25.3,66,0.0,Kancheepuram,2020,4,Summer
2020-04-12,29.4,37.4,24.0,65,0.0,Kancheepuram,2020,4,Summer
2020-04-13,29.4,37.7,23.2,66,0.0,Kancheepuram,2020,4,Summer
2020-04-14,29.1,37.2,22.8,67,0.0,Kancheepuram,2020,4,Summer
2020-04-15,29.5,37.3,24.2,65,0.1,Kancheepuram,2020,4,Summer
2020-04-16,30.0,38.0,24.2,65,0.0,Kancheepuram,2020,4,Summer
2020-04-17,30.5,38.5,25.9,67,0.0,Kancheepuram,2020,4,Summer
2020-04-18,30.6,37.4,26.6,68,0.0,Kancheepuram,2020,4,Summer
2020-04-19,30.4,37.2,26.7,69,0.3,Kancheepuram,2020,4,Summer
2020-04-20,30.4,37.4,25.9,67,0.1,Kancheepuram,2020,4,Summer
2020-04-21,30.3,37.2,25.5,66,0.0,Kancheepuram,2020,4,Summer
2020-04-22,30.4,38.6,25.0,68,0.0,Kancheepuram,2020,4,Summer
2020-04-23,30.8,39.0,26.2,68,0.0,Kancheepuram,2020,4,Summer
2020-04-24,31.5,39.1,26.8,64,0.0,Kancheepuram,2020,4,Summer
2020-04-25,32.1,40.2,27.1,64,0.6,Kancheepuram,2020,4,Summer
2020-04-26,30.6,36.5,27.0,70,1.8,Kancheepuram,2020,4,Summer
2020-04-27,30.7,36.2,27.1,70,0.2,Kancheepuram,2020,4,Summer
2020-04-28,30.1,34.0,27.5,73,0.9,Kancheepuram,2020,4,Summer
