District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Ariyalur,2020,Kharif,29.8,40.5,24.0,64.4,431.0
Ariyalur,2020,Rabi,26.0,36.8,18.2,75.2,636.0
Ariyalur,2020,Summer,30.7,41.9,20.9,61.3,64.0
Ariyalur,2021,Kharif,30.1,40.0,23.9,61.5,336.0
Ariyalur,2021,Rabi,25.2,35.8,17.5,80.6,1069.0
Ariyalur,2021,Summer,30.2,41.2,19.1,61.7,123.0
Ariyalur,2022,Kharif,29.1,39.5,22.5,66.9,498.0
Ariyalur,2022,Rabi,25.3,35.0,18.3,77.9,649.0
Ariyalur,2022,Summer,29.8,41.4,20.1,63.6,234.0
Ariyalur,2023,Kharif,30.2,40.8,24.1,62.9,354.0
Ariyalur,2023,Rabi,25.6,36.2,16.8,77.0,689.0
Ariyalur,2023,Summer,29.5,40.3,20.0,66.1,213.0
Ariyalur,2024,Kharif,29.9,40.0,23.7,64.5,396.0
Ariyalur,2024,Rabi,26.1,36.2,19.1,79.4,990.0
Ariyalur,2024,Summer,30.5,42.4,20.6,66.0,353.0
Ariyalur,2025,Kharif,29.9,38.7,23.9,62.0,310.0
Ariyalur,2025,Rabi,25.4,36.8,17.8,78.5,728.0
Ariyalur,2025,Summer,29.8,39.7,20.5,66.0,174.0
Coimbatore,2020,Kharif,25.0,34.5,21.3,85.0,622.0
Coimbatore,2020,Rabi,24.8,34.7,16.7,72.3,502.0
Coimbatore,2020,Summer,29.1,38.8,22.4,62.8,66.0
Coimbatore,2021,Kharif,24.8,33.9,20.1,84.8,599.0
Coimbatore,2021,Rabi,24.1,36.2,17.5,77.6,846.0
Coimbatore,2021,Summer,27.9,37.8,20.2,64.4,235.0
Coimbatore,2022,Kharif,24.8,33.8,20.8,83.3,565.0
Coimbatore,2022,Rabi,24.6,34.5,17.6,72.1,524.0
Coimbatore,2022,Summer,27.5,39.3,20.6,67.7,233.0
Coimbatore,2023,Kharif,25.9,35.7,21.0,79.2,511.0
Coimbatore,2023,Rabi,25.1,35.2,17.4,68.2,502.0
Coimbatore,2023,Summer,28.4,39.5,19.2,61.0,142.0
Coimbatore,2024,Kharif,25.2,33.3,21.3,83.1,516.0
Coimbatore,2024,Rabi,25.4,35.3,19.1,72.4,524.0
Coimbatore,2024,Summer,29.7,40.8,20.9,59.0,259.0
Coimbatore,2025,Kharif,24.7,32.4,20.6,84.4,475.0
Coimbatore,2025,Rabi,25.1,34.8,17.9,68.7,403.0
Coimbatore,2025,Summer,27.9,38.2,21.4,66.8,266.0
Cuddalore,2020,Kharif,29.1,38.1,24.2,74.5,431.0
Cuddalore,2020,Rabi,26.0,34.6,19.5,80.2,828.0
Cuddalore,2020,Summer,29.1,40.2,21.0,74.7,32.0
Cuddalore,2021,Kharif,29.4,38.6,24.3,71.1,330.0
Cuddalore,2021,Rabi,25.5,32.8,18.6,83.2,1363.0
Cuddalore,2021,Summer,29.0,40.0,20.2,73.6,45.0
Cuddalore,2022,Kharif,28.9,37.7,23.6,74.1,366.0
Cuddalore,2022,Rabi,25.6,33.2,19.0,80.8,892.0
Cuddalore,2022,Summer,28.9,37.3,21.0,75.2,146.0
Cuddalore,2023,Kharif,30.0,38.7,24.7,69.7,419.0
Cuddalore,2023,Rabi,26.0,34.9,18.0,79.9,776.0
Cuddalore,2023,Summer,28.7,38.7,21.0,77.6,166.0
Cuddalore,2024,Kharif,29.7,38.0,24.4,71.2,382.0
Cuddalore,2024,Rabi,26.5,36.4,19.5,80.8,1060.0
Cuddalore,2024,Summer,29.5,38.7,21.2,76.9,260.0
Cuddalore,2025,Kharif,29.3,36.8,23.1,71.4,389.0
Cuddalore,2025,Rabi,26.0,33.4,19.0,79.4,886.0
Cuddalore,2025,Summer,29.2,37.1,21.5,75.5,199.0
Dharmapuri,2020,Kharif,26.2,35.7,20.0,73.7,483.0
Dharmapuri,2020,Rabi,24.0,33.7,14.6,73.9,416.0
Dharmapuri,2020,Summer,29.1,39.4,19.0,55.6,94.0
Dharmapuri,2021,Kharif,26.7,37.2,21.0,69.0,431.0
Dharmapuri,2021,Rabi,23.1,35.2,14.3,80.5,793.0
Dharmapuri,2021,Summer,28.2,39.8,16.3,56.5,89.0
Dharmapuri,2022,Kharif,25.8,36.2,20.5,74.0,494.0
Dharmapuri,2022,Rabi,23.1,33.0,14.6,77.2,428.0
Dharmapuri,2022,Summer,27.5,39.2,16.6,61.1,201.0
Dharmapuri,2023,Kharif,27.3,37.0,21.7,67.3,380.0
Dharmapuri,2023,Rabi,23.7,33.7,12.9,73.4,267.0
Dharmapuri,2023,Summer,27.5,37.5,14.2,60.5,211.0
Dharmapuri,2024,Kharif,26.8,36.3,21.2,70.3,428.0
Dharmapuri,2024,Rabi,24.4,35.8,16.4,75.1,595.0
Dharmapuri,2024,Summer,29.4,42.0,18.2,55.9,200.0
Dharmapuri,2025,Kharif,26.8,36.0,21.4,67.2,375.0
Dharmapuri,2025,Rabi,23.6,33.5,15.3,73.3,298.0
Dharmapuri,2025,Summer,27.6,37.1,17.1,62.1,194.0
Dindigul,2020,Kharif,28.6,39.3,21.6,64.1,336.0
Dindigul,2020,Rabi,25.9,37.9,17.7,70.1,534.0
Dindigul,2020,Summer,30.9,40.6,21.1,53.2,41.0
Dindigul,2021,Kharif,28.8,38.8,21.7,61.7,297.0
Dindigul,2021,Rabi,24.6,35.7,16.8,78.6,1054.0
Dindigul,2021,Summer,29.3,39.8,18.8,58.4,106.0
Dindigul,2022,Kharif,28.0,38.7,21.4,66.1,411.0
Dindigul,2022,Rabi,25.1,37.0,18.0,73.2,541.0
Dindigul,2022,Summer,29.0,40.2,18.8,60.3,170.0
Dindigul,2023,Kharif,29.6,40.3,22.6,60.0,272.0
Dindigul,2023,Rabi,25.5,38.5,16.5,71.3,574.0
Dindigul,2023,Summer,28.8,39.5,18.5,61.7,179.0
Dindigul,2024,Kharif,28.8,39.5,21.9,65.2,437.0
Dindigul,2024,Rabi,25.9,35.8,18.5,75.6,736.0
