District,year,Season,N,P,K,pH,EC,OC,S,B,Zn,Cu,Fe,Mn,temperature,temperature_max,temperature_min,humidity,rainfall,label
Ariyalur,2020,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,40.5,24.0,64.4,431.0,rice
Ariyalur,2020,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,40.5,24.0,64.4,431.0,groundnut
Ariyalur,2020,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,40.5,24.0,64.4,431.0,pulses
Ariyalur,2020,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.0,36.8,18.2,75.2,636.0,rice
Ariyalur,2020,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.0,36.8,18.2,75.2,636.0,groundnut
Ariyalur,2020,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.0,36.8,18.2,75.2,636.0,pulses
Ariyalur,2020,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.7,41.9,20.9,61.3,64.0,rice
Ariyalur,2020,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.7,41.9,20.9,61.3,64.0,groundnut
Ariyalur,2020,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.7,41.9,20.9,61.3,64.0,pulses
Ariyalur,2021,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.1,40.0,23.9,61.5,336.0,rice
Ariyalur,2021,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.1,40.0,23.9,61.5,336.0,groundnut
Ariyalur,2021,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.1,40.0,23.9,61.5,336.0,pulses
Ariyalur,2021,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.2,35.8,17.5,80.6,1069.0,rice
Ariyalur,2021,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.2,35.8,17.5,80.6,1069.0,groundnut
Ariyalur,2021,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.2,35.8,17.5,80.6,1069.0,pulses
Ariyalur,2021,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,41.2,19.1,61.7,123.0,rice
Ariyalur,2021,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,41.2,19.1,61.7,123.0,groundnut
Ariyalur,2021,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,41.2,19.1,61.7,123.0,pulses
Ariyalur,2022,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.1,39.5,22.5,66.9,498.0,rice
Ariyalur,2022,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.1,39.5,22.5,66.9,498.0,groundnut
Ariyalur,2022,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.1,39.5,22.5,66.9,498.0,pulses
Ariyalur,2022,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.3,35.0,18.3,77.9,649.0,rice
Ariyalur,2022,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.3,35.0,18.3,77.9,649.0,groundnut
Ariyalur,2022,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.3,35.0,18.3,77.9,649.0,pulses
Ariyalur,2022,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,41.4,20.1,63.6,234.0,rice
Ariyalur,2022,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,41.4,20.1,63.6,234.0,groundnut
Ariyalur,2022,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,41.4,20.1,63.6,234.0,pulses
Ariyalur,2023,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,40.8,24.1,62.9,354.0,rice
Ariyalur,2023,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,40.8,24.1,62.9,354.0,groundnut
Ariyalur,2023,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.2,40.8,24.1,62.9,354.0,pulses
Ariyalur,2023,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.6,36.2,16.8,77.0,689.0,rice
Ariyalur,2023,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.6,36.2,16.8,77.0,689.0,groundnut
Ariyalur,2023,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.6,36.2,16.8,77.0,689.0,pulses
Ariyalur,2023,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.5,40.3,20.0,66.1,213.0,rice
Ariyalur,2023,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.5,40.3,20.0,66.1,213.0,groundnut
Ariyalur,2023,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.5,40.3,20.0,66.1,213.0,pulses
Ariyalur,2024,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,40.0,23.7,64.5,396.0,rice
Ariyalur,2024,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,40.0,23.7,64.5,396.0,groundnut
Ariyalur,2024,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,40.0,23.7,64.5,396.0,pulses
Ariyalur,2024,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.1,36.2,19.1,79.4,990.0,rice
Ariyalur,2024,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.1,36.2,19.1,79.4,990.0,groundnut
Ariyalur,2024,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,26.1,36.2,19.1,79.4,990.0,pulses
Ariyalur,2024,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.5,42.4,20.6,66.0,353.0,rice
