District,N,P,K,pH,Season,Temperature,Humidity,Rainfall,crop
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,29.1,72.7,607.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,25.4,79.3,612.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,30.0,66.7,18.0,watermelon
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,29.7,66.5,428.0,jute
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,24.9,82.2,1052.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,29.5,67.2,48.0,banana
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,28.9,70.6,539.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,24.9,80.0,635.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,29.4,68.7,140.0,banana
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,29.7,68.0,494.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,25.5,77.7,680.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,29.5,67.7,180.0,banana
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,29.6,68.2,532.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,25.9,79.1,783.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,30.7,66.2,196.0,banana
Kancheepuram,188.0,67.0,194.0,7.4,Kharif,29.6,65.6,496.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Rabi,25.5,77.4,636.0,rice
Kancheepuram,188.0,67.0,194.0,7.4,Summer,30.4,65.0,141.0,banana
Cuddalore,141.5,51.0,237.5,7.3,Kharif,29.1,74.5,431.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Rabi,26.0,80.2,828.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,29.1,74.7,32.0,watermelon
Cuddalore,141.5,51.0,237.5,7.3,Kharif,29.4,71.1,330.0,jute
Cuddalore,141.5,51.0,237.5,7.3,Rabi,25.5,83.2,1363.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,29.0,73.6,45.0,watermelon
Cuddalore,141.5,51.0,237.5,7.3,Kharif,28.9,74.1,366.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Rabi,25.6,80.8,892.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,28.9,75.2,146.0,apple
Cuddalore,141.5,51.0,237.5,7.3,Kharif,30.0,69.7,419.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Rabi,26.0,79.9,776.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,28.7,77.6,166.0,apple
Cuddalore,141.5,51.0,237.5,7.3,Kharif,29.7,71.2,382.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Rabi,26.5,80.8,1060.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,29.5,76.9,260.0,jute
Cuddalore,141.5,51.0,237.5,7.3,Kharif,29.3,71.4,389.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Rabi,26.0,79.4,886.0,rice
Cuddalore,141.5,51.0,237.5,7.3,Summer,29.2,75.5,199.0,jute
Villupuram,156.0,41.6,233.0,7.1,Kharif,29.8,68.0,459.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,25.7,78.7,730.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,30.0,67.7,36.0,watermelon
Villupuram,156.0,41.6,233.0,7.1,Kharif,30.1,65.0,394.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,25.1,82.5,1153.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,29.8,66.3,71.0,watermelon
Villupuram,156.0,41.6,233.0,7.1,Kharif,29.4,68.2,416.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,25.4,79.4,678.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,29.5,68.7,171.0,coffee
Villupuram,156.0,41.6,233.0,7.1,Kharif,30.3,65.4,505.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,25.8,78.1,629.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,29.4,69.7,171.0,coffee
Villupuram,156.0,41.6,233.0,7.1,Kharif,29.8,68.3,502.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,26.1,80.3,1251.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,30.1,71.0,284.0,jute
Villupuram,156.0,41.6,233.0,7.1,Kharif,29.4,68.4,408.0,rice
Villupuram,156.0,41.6,233.0,7.1,Rabi,25.7,78.7,774.0,rice
Villupuram,156.0,41.6,233.0,7.1,Summer,29.5,70.6,209.0,jute
Vellore,180.2,58.7,327.4,7.3,Kharif,28.4,69.5,595.0,rice
Vellore,180.2,58.7,327.4,7.3,Rabi,24.6,77.0,611.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,29.8,60.8,32.0,grapes
Vellore,180.2,58.7,327.4,7.3,Kharif,28.9,64.3,411.0,jute
Vellore,180.2,58.7,327.4,7.3,Rabi,24.0,81.5,1008.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,29.4,59.3,131.0,grapes
Vellore,180.2,58.7,327.4,7.3,Kharif,28.1,68.0,550.0,rice
Vellore,180.2,58.7,327.4,7.3,Rabi,24.1,78.3,660.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,29.3,60.0,150.0,grapes
Vellore,180.2,58.7,327.4,7.3,Kharif,29.7,61.7,503.0,rice
Vellore,180.2,58.7,327.4,7.3,Rabi,24.7,74.9,462.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,29.2,59.7,252.0,jute
Vellore,180.2,58.7,327.4,7.3,Kharif,29.2,64.6,504.0,rice
Vellore,180.2,58.7,327.4,7.3,Rabi,25.2,77.4,737.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,30.6,58.2,150.0,grapes
Vellore,180.2,58.7,327.4,7.3,Kharif,29.3,61.4,407.0,jute
Vellore,180.2,58.7,327.4,7.3,Rabi,24.6,75.3,501.0,rice
Vellore,180.2,58.7,327.4,7.3,Summer,29.8,60.1,135.0,grapes
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,29.1,66.8,492.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,25.3,75.6,648.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,30.2,61.7,57.0,watermelon
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,29.5,62.6,448.0,jute
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,24.5,81.2,1060.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,29.8,60.6,68.0,watermelon
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,28.5,67.7,515.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,24.6,78.4,624.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,28.9,64.8,193.0,coffee
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,29.8,62.5,441.0,jute
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,25.2,75.0,530.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,29.0,64.2,236.0,jute
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,29.2,65.7,537.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,25.7,77.3,921.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,30.2,64.2,220.0,jute
Tiruvannamalai,175.7,27.4,263.1,7.6,Kharif,29.3,62.6,451.0,jute
Tiruvannamalai,175.7,27.4,263.1,7.6,Rabi,25.4,74.3,588.0,rice
Tiruvannamalai,175.7,27.4,263.1,7.6,Summer,29.6,63.9,126.0,watermelon
Salem,185.0,29.4,190.0,7.9,Kharif,27.4,73.8,616.0,rice
Salem,185.0,29.4,190.0,7.9,Rabi,25.8,68.9,394.0,jute
Salem,185.0,29.4,190.0,7.9,Summer,31.0,51.3,63.0,watermelon
Salem,185.0,29.4,190.0,7.9,Kharif,27.6,71.3,442.0,jute
Salem,185.0,29.4,190.0,7.9,Rabi,24.9,75.9,653.0,rice
Salem,185.0,29.4,190.0,7.9,Summer,30.1,53.2,89.0,coffee
Salem,185.0,29.4,190.0,7.9,Kharif,26.8,74.9,620.0,rice
Salem,185.0,29.4,190.0,7.9,Rabi,25.0,72.1,496.0,rice
Salem,185.0,29.4,190.0,7.9,Summer,29.4,57.1,193.0,coffee
Salem,185.0,29.4,190.0,7.9,Kharif,28.4,68.4,415.0,jute
Salem,185.0,29.4,190.0,7.9,Rabi,25.8,67.4,314.0,jute
Salem,185.0,29.4,190.0,7.9,Summer,29.1,58.2,194.0,coffee
Salem,185.0,29.4,190.0,7.9,Kharif,27.6,73.2,533.0,rice
Salem,185.0,29.4,190.0,7.9,Rabi,26.2,71.3,574.0,rice
Salem,185.0,29.4,190.0,7.9,Summer,31.3,52.8,214.0,coffee
Salem,185.0,29.4,190.0,7.9,Kharif,27.4,72.1,492.0,rice
Salem,185.0,29.4,190.0,7.9,Rabi,25.5,68.9,248.0,jute
Salem,185.0,29.4,190.0,7.9,Summer,29.6,58.5,227.0,coffee
Namakkal,200.0,20.7,421.5,7.3,Kharif,28.6,69.9,522.0,rice
Namakkal,200.0,20.7,421.5,7.3,Rabi,26.6,68.4,468.0,jute
Namakkal,200.0,20.7,421.5,7.3,Summer,31.7,52.5,86.0,grapes
Namakkal,200.0,20.7,421.5,7.3,Kharif,28.7,67.7,422.0,jute
Namakkal,200.0,20.7,421.5,7.3,Rabi,25.4,76.8,777.0,rice
Namakkal,200.0,20.7,421.5,7.3,Summer,30.7,54.2,85.0,grapes
Namakkal,200.0,20.7,421.5,7.3,Kharif,28.1,70.7,516.0,rice
Namakkal,200.0,20.7,421.5,7.3,Rabi,25.7,72.6,649.0,rice
Namakkal,200.0,20.7,421.5,7.3,Summer,30.0,58.2,228.0,apple
Namakkal,200.0,20.7,421.5,7.3,Kharif,29.5,65.6,384.0,jute
Namakkal,200.0,20.7,421.5,7.3,Rabi,26.3,69.0,476.0,jute
